recId	osmStatus	dcsStatus
HAO-000-000-000-008	Unpublished	Final
HAO-000-000-000-009	Unpublished	Final
HAO-000-000-000-010	Unpublished	Final
HAO-000-000-000-011	Unpublished	Final
HAO-000-000-000-012	Unpublished	Final
HAO-000-000-000-013	Unpublished	Final
HAO-000-000-000-014	Unpublished	Final
HAO-000-000-000-015	Unpublished	Final
HAO-000-000-000-016	Unpublished	Final
HAO-000-000-000-017	Unpublished	Final
HAO-000-000-000-018	Unpublished	Final
HAO-000-000-000-019	Unpublished	Final
HAO-000-000-000-020	Unpublished	Final
HAO-000-000-000-021	Unpublished	Final
HAO-000-000-000-022	Unpublished	Final
HAO-000-000-000-023	Unpublished	Final
HAO-000-000-000-024	Unpublished	Final
HAO-000-000-000-025	Unpublished	Final
HAO-000-000-000-026	Unpublished	Final
HAO-000-000-000-027	Unpublished	Final
HAO-000-000-000-028	Unpublished	Final
HAO-000-000-000-029	Unpublished	Final
HAO-000-000-000-030	Unpublished	Final
HAO-000-000-000-031	Unpublished	Final
HAO-000-000-000-032	Unpublished	Final
HAO-000-000-000-033	Unpublished	Final
HAO-000-000-000-034	Unpublished	Final
HAO-000-000-000-035	Unpublished	Final
HAO-000-000-000-036	Unpublished	Final
HAO-000-000-000-037	Unpublished	Final
HAO-000-000-000-038	Unpublished	Final
HAO-000-000-000-039	Unpublished	Holding
HAO-000-000-000-040	Unpublished	Holding
HAO-000-000-000-041	Unpublished	Holding
HAO-000-000-000-042	Unpublished	Holding
HAO-000-000-000-043	Unpublished	Holding
HAO-000-000-000-044	Unpublished	Final
HAO-000-000-000-045	Unpublished	Final
HAO-000-000-000-046	Unpublished	Final
HAO-000-000-000-047	Unpublished	Final
HAO-000-000-000-048	Unpublished	Final
HAO-000-000-000-049	Unpublished	Final
HAO-000-000-000-050	Unpublished	Final
HAO-000-000-000-051	Unpublished	Final
HAO-000-000-000-052	Unpublished	Final
HAO-000-000-000-053	Unpublished	Final
HAO-000-000-000-054	Unpublished	Final
HAO-000-000-000-055	Unpublished	Final
HAO-000-000-000-056	Unpublished	Final
HAO-000-000-000-057	Unpublished	Final
HAO-000-000-000-058	Unpublished	Final
HAO-000-000-000-059	Unpublished	Final
HAO-000-000-000-060	Unpublished	Final
HAO-000-000-000-061	Unpublished	Final
HAO-000-000-000-062	Unpublished	Final
HAO-000-000-000-063	Unpublished	Final
HAO-000-000-000-064	Unpublished	Final
HAO-000-000-000-065	Unpublished	Final
HAO-000-000-000-066	Unpublished	Final
HAO-000-000-000-067	Unpublished	Final
HAO-000-000-000-068	Unpublished	Final
HAO-000-000-000-069	Unpublished	Final
HAO-000-000-000-070	Unpublished	Final
HAO-000-000-000-071	Unpublished	Final
HAO-000-000-000-072	Unpublished	Final
HAO-000-000-000-073	Unpublished	Final
HAO-000-000-000-074	Unpublished	Final
HAO-000-000-000-075	Unpublished	Final
HAO-000-000-000-076	Unpublished	Final
HAO-000-000-000-077	Unpublished	Final
HAO-000-000-000-078	Unpublished	Final
HAO-000-000-000-079	Unpublished	Final
HAO-000-000-000-080	Unpublished	Final
HAO-000-000-000-081	Unpublished	Final
HAO-000-000-000-082	Unpublished	Final
HAO-000-000-000-083	Unpublished	Final
HAO-000-000-000-084	Unpublished	Final
HAO-000-000-000-085	Unpublished	Final
HAO-000-000-000-086	Unpublished	Final
HAO-000-000-000-087	Unpublished	Final
HAO-000-000-000-088	Unpublished	Final
HAO-000-000-000-089	Unpublished	Final
HAO-000-000-000-090	Unpublished	Final
HAO-000-000-000-091	Unpublished	Final
HAO-000-000-000-092	Unpublished	Final
HAO-000-000-000-093	Unpublished	Final
HAO-000-000-000-094	Unpublished	Final
HAO-000-000-000-095	Unpublished	Final
HAO-000-000-000-096	Unpublished	Final
HAO-000-000-000-097	Unpublished	Final
HAO-000-000-000-098	Unpublished	Final
HAO-000-000-000-099	Unpublished	Final
HAO-000-000-000-100	Unpublished	Holding
HAO-000-000-000-101	Unpublished	Holding
