recId	dcsstatus	resourceType	Fiscal	Published	Accepted	Created	Digitized	In press	Modified	Reviewer assigned	Submitted
OSGC-000-000-000-273	Final		2010	2010-01-14							
OSGC-000-000-000-505	Final		2010	2010-01-01							
OSGC-000-000-000-741	Final		2010	2010-09-02							
OSGC-000-000-001-132	Final		2007	2007-08-21							
OSGC-000-000-000-793	Final		2010	2010-05-01							
OSGC-000-000-000-825	Final		2010	2010-03-01							
OSGC-000-000-001-246	Final		2010	2009							
OSGC-000-000-000-935	Final		2010	2009-12-01							
OSGC-000-000-001-036	Final		2011								2010-10-31
OSGC-000-000-000-733	Final		2010	2010-09-08							
OSGC-000-000-000-578	Final		2010	2010-05-14							
OSGC-000-000-000-564	Final		2009	2009-06-01							
OSGC-000-000-001-243	Final		2010	2009							
OSGC-000-000-000-325	Final		2010	2010-09-01							
OSGC-000-000-001-233	Final		2004	2004-03-01							
OSGC-000-000-000-114	Final		2010	2010-03-24							
OSGC-000-000-001-029	Final		2010		2010-10-13						
OSGC-000-000-000-722	Final		2010	2010-06-21							
OSGC-000-000-000-440	Final		2010	2009-12-01							
OSGC-000-000-001-100	Final		2010	2010-01-14							
OSGC-000-000-000-207	Final		2010	2010-02-16							
OSGC-000-000-001-074	Final		2011		2010-11-01						
OSGC-000-000-000-132	Final		2010	2010-06-01							
OSGC-000-000-000-137	Final		2010	2010-02-03							
OSGC-000-000-000-314	Final		2010					2010-07-02			
OSGC-000-000-000-512	Final		2011	2010-11-01							
OSGC-000-000-000-510	Final		2009	2009-05-31							
OSGC-000-000-000-940	Final		2010	2010-01-01							
OSGC-000-000-000-048	Final		2008	2008-06							
OSGC-000-000-000-428	Final		2011	2010-10-08							
OSGC-000-000-000-059	Final		2009	2008-12-01							
OSGC-000-000-000-480	Final		2010		2010-05-24			2010			2009-04-29
OSGC-000-000-000-689	Final		2011		2010-10-15						
OSGC-000-000-000-799	Final		2010	2009-12-01							
OSGC-000-000-000-998	Final		2011	2010-10-30							
OSGC-000-000-000-099	Final		2010	2009-12							
OSGC-000-000-000-803	Final		2010	2009-12-01							
OSGC-000-000-001-251	Final		2010	2009							
OSGC-000-000-000-151	Final		2010	2010-04-02							
OSGC-000-000-000-148	Final		2010	2010-03-09							
OSGC-000-000-000-844	Final		2011	2010-10-28							
OSGC-000-000-000-476	Final		2010	2010-08-14							
OSGC-000-000-000-079	Final		2008	2008-04							
OSGC-000-000-001-058	Final		2011	2010-11-03							
OSGC-000-000-000-154	Final		2010	2010-04-30							
OSGC-000-000-001-247	Final		2010	2010							
OSGC-000-000-000-474	Final		1997	1997-02-01							
OSGC-000-000-001-052	Final		2010	2010-05-05							
OSGC-000-000-000-555	Final		2010	2010-06-10							
OSGC-000-000-000-142	Final		2010	2010-01-12							
OSGC-000-000-000-327	Final		2010	2010-02-19							
OSGC-000-000-000-658	Final		2010	2009-11-20							
OSGC-000-000-000-481	Final		2010	2010-08-01							
OSGC-000-000-001-268	Final		2010	2009							
OSGC-000-000-000-692	Final		2010	2010-08-01							
OSGC-000-000-001-040	Final		2010	2010-08-11							
OSGC-000-000-000-348	Final		2010	2009-11-15							
OSGC-000-000-000-421	Final		2011					2010-10-23			
OSGC-000-000-000-139	Final		2010	2010-02							
OSGC-000-000-000-495	Final		2010	2010-09-01							
OSGC-000-000-000-026	Final		2009	2009-03-01							
OSGC-000-000-000-315	Final		2010	2010-05-01							
OSGC-000-000-000-385	Final		2010	2010-08-01							
OSGC-000-000-000-409	Final		2010	2010-01-11							
OSGC-000-000-000-855	Final		2010	2010-05-06							
OSGC-000-000-000-020	Final		2009	2009-06-05							
OSGC-000-000-000-756	Final		2010	2010-03-01							
OSGC-000-000-001-261	Final		2010	2010							
OSGC-000-000-000-929	Final		2010	2009-12-01							
OSGC-000-000-000-778	Final		2010	2009-11-02							
OSGC-000-000-000-144	Final		2010	2010-04-01							
OSGC-000-000-000-890	Final		2010	2010-09-01							
OSGC-000-000-000-794	Final		2010	2010-03-01							
OSGC-000-000-001-085	Final		2010	2009-11-13							
OSGC-000-000-001-275	Final		2010	2009							
OSGC-000-000-001-091	Final		2010	2010-06-11							
OSGC-000-000-000-206	Final		2010	2010-04-13							
OSGC-000-000-000-496	Final		2010	2010-02-01							
OSGC-000-000-000-923	Final		2010	2009-12-01							
OSGC-000-000-001-088	Final		2010	2010-06-09							
OSGC-000-000-000-715	Final		2010	2009-10-26							
OSGC-000-000-000-352	Final		2010	2010-06-30							
OSGC-000-000-000-782	Final		2010	2009-10-01							
OSGC-000-000-000-956	Final		2010	2009-12-01							
OSGC-000-000-000-767	Final		2011	2010-10-07							
OSGC-000-000-000-874	Final		2010	2010-10-28							
OSGC-000-000-000-639	Final		2010	2010-06-05							
OSGC-000-000-000-694	Final		2010	2010							
OSGC-000-000-000-637	Final		2010	2009-11-03							
OSGC-000-000-000-617	Final		2010	2010-04-01							
OSGC-000-000-000-592	Final		2010								2010-06-23
OSGC-000-000-000-942	Final		2010	2010-01-15							
OSGC-000-000-000-445	Final		2011	2010-10-19							
OSGC-000-000-000-547	Final		2011	2010-10-07							
OSGC-000-000-000-620	Final		2011	2010-10-26							
OSGC-000-000-000-489	Final		2010	2010-03-01							
OSGC-000-000-000-102	Final		2010	2009-11							
OSGC-000-000-001-269	Final		2010	2009							
OSGC-000-000-000-063	Final		2008	2008-01							
OSGC-000-000-000-498	Final		2010	2010-05-17							
OSGC-000-000-001-266	Final		2010	2009							
OSGC-000-000-000-948	Final		2010	2010-05-18							
OSGC-000-000-000-918	Final		2010	2009-12-01							
OSGC-000-000-000-081	Final		2009	2009-09							
OSGC-000-000-000-750	Final		2010	2010-03-01							
OSGC-000-000-000-299	Final		2010	2010-03-20							
OSGC-000-000-000-582	Final		2010	2010-05-04							
OSGC-000-000-000-523	Final		2010	2010-02-01							
OSGC-000-000-000-724	Final		2010	2009-12-01							
OSGC-000-000-001-084	Final		2010	2010-07-01							
OSGC-000-000-000-284	Final		2010	2009-12-01							
OSGC-000-000-000-219	Final		2010	2010-08-30							
OSGC-000-000-000-265	Final		2010	2010-02-19							
OSGC-000-000-000-121	Final		2010	2010-07							
OSGC-000-000-000-907	Final		2010	2010-09-28							
OSGC-000-000-000-186	Final		2010	2010-06							
OSGC-000-000-000-051	Final		2008	2008-08-01							
OSGC-000-000-000-354	Final		2010	2010-08-01							
OSGC-000-000-000-047	Final		2009	2008-11-15							
OSGC-000-000-000-473	Final		2009	2009-02-26							
OSGC-000-000-000-078	Final		2009	2009-06							
OSGC-000-000-000-024	Final		2009	2009-06-09							
OSGC-000-000-000-774	Final		2010	2010-01-01							
OSGC-000-000-000-502	Final		2010	2010-09-01							
OSGC-000-000-000-817	Final		2010	2009-12-01							
OSGC-000-000-000-809	Final		2010	2010-05-01							
OSGC-000-000-000-590	Final		2010	2009-12-01							
OSGC-000-000-000-783	Final		2010	2010-06-01							
OSGC-000-000-000-310	Final		2010	2010-07-01							
OSGC-000-000-000-977	Final		2011	2010-10-29							
OSGC-000-000-000-979	Final		2011	2010-10-29							
OSGC-000-000-000-043	Final		2009	2009-04							
OSGC-000-000-000-347	Final		2010	2010-09-25							
OSGC-000-000-000-541	Final		2010	2010-05-25							
OSGC-000-000-001-250	Final		2010	2010							
OSGC-000-000-000-085	Final		2010	2010-02-24							
OSGC-000-000-000-792	Final		2010	2010-05-01							
OSGC-000-000-000-963	Final		2010	2010-03-19							
OSGC-000-000-000-460	Final		2010	2010-05-01							
OSGC-000-000-000-847	Final		2010	2009-10-13							
OSGC-000-000-001-043	Final		2010	2010-01-01							
OSGC-000-000-000-899	Final		2010	2010-09-07							
OSGC-000-000-000-583	Final		2010	2010-01-19							
OSGC-000-000-000-382	Final		2010	2010-06-04							
OSGC-000-000-000-275	Final		2010	2010-06-23							
OSGC-000-000-001-077	Final		2010	2010-08-10							
OSGC-000-000-000-098	Final		2010	2010-05-15							
OSGC-000-000-000-316	Final		2010	2010-01-01							
OSGC-000-000-000-214	Final		2010	2010-06-15							
OSGC-000-000-000-674	Final		2010	2009-12-01							
OSGC-000-000-000-061	Final		2008	2008-02-08							
OSGC-000-000-000-527	Final		2010	2010-05-01							
OSGC-000-000-000-622	Final		2010	2009-12-01							
OSGC-000-000-001-273	Final		2010	2010							
OSGC-000-000-000-255	Final		2011					2010-10-01			
OSGC-000-000-000-567	Final		2011	2010-10-26							
OSGC-000-000-000-769	Final		2010	2010-02-01							
OSGC-000-000-000-101	Final		2010	2009-12							
OSGC-000-000-000-429	Final		2009	2009-06-01							
OSGC-000-000-000-350	Final		2008	2008-09-17							
OSGC-000-000-000-328	Final		2010	2010-07-16							
OSGC-000-000-000-304	Final		2010	2009-11-20							
OSGC-000-000-000-209	Final		2010	2010-07							
OSGC-000-000-000-176	Final		2010	2009-11							
OSGC-000-000-000-033	Final		2009	2008-12-01							
OSGC-000-000-000-175	Final		2010	2010-05-04							
OSGC-000-000-000-521	Final		2010	2010-05-14							
OSGC-000-000-000-182	Final		2010	2010-03							
OSGC-000-000-000-924	Final		2010	2009-12-01							
OSGC-000-000-000-463	Final		2010	2010-03-31							
OSGC-000-000-001-045	Final		2011								2010-10-31
OSGC-000-000-000-053	Final		2008	2008-04-08							
OSGC-000-000-000-906	Final		2010	2010-09-27							
OSGC-000-000-000-227	Final		2009	2009-06-03							
OSGC-000-000-001-039	Final		2010	2010-05-28							
OSGC-000-000-000-190	Final		2010	2010-02							
OSGC-000-000-000-961	Final		2010	2010-10-29							
OSGC-000-000-001-025	Final		2010	2010-08-13							
OSGC-000-000-000-199	Final		2010	2010-07-02							
OSGC-000-000-000-798	Final		2010	2009-12-01							
OSGC-000-000-001-067	Final		2011					2010-10-31			
OSGC-000-000-000-029	Final		2009	2009-07-22							
OSGC-000-000-000-970	Final		2011	2010-10-29							
OSGC-000-000-000-221	Final		1968	1968-01-01							
OSGC-000-000-000-217	Final		2010	2010-08							
OSGC-000-000-001-010	Final		2011					2010-10-11			
OSGC-000-000-000-116	Final		2010	2010-06							
OSGC-000-000-000-686	Final		2010	2010-05-23	2009-12-15						
