timestamp	recId	status
01/29/2008 11:35:38 AM	DLESE-000-000-003-811	_|-final-dcc-|_
01/29/2008 11:39:06 AM	DLESE-000-000-004-010	_|-final-dcc-|_
01/29/2008 11:41:07 AM	DLESE-000-000-004-059	_|-final-dcc-|_
01/29/2008 11:45:08 AM	DLESE-000-000-003-811	_|-final-dcc-|_
01/29/2008 11:51:12 AM	DLESE-000-000-004-237	Deaccessioned
01/29/2008 11:52:45 AM	DLESE-000-000-004-701	_|-final-dcc-|_
01/29/2008 12:31:54 PM	DLESE-000-000-004-866	_|-final-dcc-|_
01/29/2008 12:45:17 PM	DLESE-000-000-005-634	_|-final-dcc-|_
01/29/2008 12:48:55 PM	DLESE-000-000-005-635	_|-final-dcc-|_
01/29/2008 12:51:38 PM	DLESE-000-000-005-636	_|-final-dcc-|_
01/29/2008 12:54:51 PM	DLESE-000-000-005-637	_|-final-dcc-|_
01/29/2008 12:57:44 PM	DLESE-000-000-005-638	_|-final-dcc-|_
01/29/2008 12:59:57 PM	DLESE-000-000-005-639	_|-final-dcc-|_
01/29/2008 01:02:21 PM	DLESE-000-000-005-640	_|-final-dcc-|_
01/29/2008 01:06:00 PM	DLESE-000-000-005-641	_|-final-dcc-|_
01/29/2008 01:12:48 PM	DLESE-000-000-007-028	_|-final-dcc-|_
01/29/2008 01:18:11 PM	DLESE-000-000-007-368	_|-final-dcc-|_
01/29/2008 01:20:17 PM	DLESE-000-000-008-736	_|-final-dcc-|_
01/29/2008 01:34:09 PM	DLESE-000-000-008-839	_|-final-dcc-|_
01/29/2008 01:40:52 PM	DLESE-000-000-008-937	_|-final-dcc-|_
01/29/2008 01:43:17 PM	DLESE-000-000-009-210	_|-final-dcc-|_
01/29/2008 01:54:37 PM	DLESE-000-000-001-026	_|-final-dcc-|_
01/29/2008 01:58:18 PM	DLESE-000-000-009-376	_|-final-dcc-|_
01/29/2008 02:06:51 PM	DLESE-000-000-009-377	_|-final-dcc-|_
01/29/2008 02:10:15 PM	DLESE-000-000-009-378	_|-final-dcc-|_
01/29/2008 02:15:09 PM	NEWS-OPPS-000-000-002-344	_|-final-nocc-|_
01/29/2008 02:15:43 PM	DLESE-000-000-006-671	_|-final-dcc-|_
01/29/2008 02:27:09 PM	DLESE-000-000-007-615	_|-final-dcc-|_
01/29/2008 02:33:32 PM	DLESE-000-000-009-431	_|-final-dcc-|_
01/29/2008 02:44:20 PM	DLESE-000-000-004-010	_|-final-dcc-|_
01/29/2008 04:02:18 PM	SERC-STARTINGPOINT-000-000-000-409	Deaccessioned
01/30/2008 12:52:00 PM	NEWS-OPPS-000-000-002-345	_|-final-nocc-|_
01/30/2008 02:57:31 PM	NEWS-OPPS-000-000-002-347	_|-final-nocc-|_
01/31/2008 08:05:00 AM	NEWS-OPPS-000-000-002-348	_|-final-nocc-|_
01/31/2008 08:24:49 AM	DLESE-000-000-000-918	_|-final-dcc-|_
01/31/2008 08:45:22 AM	DWEL-000-000-000-032	_|-final-dwel-|_
01/31/2008 08:47:59 AM	DWEL-000-000-000-302	_|-final-dwel-|_
01/31/2008 08:49:52 AM	DLESE-000-000-003-264	_|-final-dcc-|_
01/31/2008 08:53:31 AM	DLESE-000-000-003-802	_|-final-dcc-|_
01/31/2008 09:09:07 AM	DWEL-000-000-000-419	_|-final-dwel-|_
01/31/2008 09:29:58 AM	DLESE-000-000-006-859	_|-final-dcc-|_
01/31/2008 09:33:44 AM	DLESE-000-000-006-860	_|-final-dcc-|_
01/31/2008 09:36:26 AM	DLESE-000-000-006-861	_|-final-dcc-|_
01/31/2008 09:39:39 AM	DLESE-000-000-006-862	_|-final-dcc-|_
01/31/2008 09:43:19 AM	DLESE-000-000-006-863	_|-final-dcc-|_
01/31/2008 09:48:10 AM	DLESE-000-000-006-864	_|-final-dcc-|_
01/31/2008 09:51:07 AM	DLESE-000-000-006-865	_|-final-dcc-|_
01/31/2008 09:53:10 AM	DLESE-000-000-006-866	_|-final-dcc-|_
01/31/2008 10:03:38 AM	DLESE-000-000-006-867	_|-final-dcc-|_
01/31/2008 10:13:03 AM	DLESE-000-000-006-868	_|-final-dcc-|_
01/31/2008 10:15:27 AM	DLESE-000-000-006-869	_|-final-dcc-|_
01/31/2008 10:18:40 AM	DLESE-000-000-006-870	_|-final-dcc-|_
01/31/2008 10:22:09 AM	DLESE-000-000-006-871	_|-final-dcc-|_
01/31/2008 10:25:01 AM	DLESE-000-000-006-872	_|-final-dcc-|_
01/31/2008 10:29:04 AM	DLESE-000-000-006-873	_|-final-dcc-|_
01/31/2008 10:31:41 AM	DLESE-000-000-006-874	_|-final-dcc-|_
01/31/2008 10:36:33 AM	DLESE-000-000-006-875	_|-final-dcc-|_
01/31/2008 10:45:58 AM	DLESE-000-000-006-876	_|-final-dcc-|_
01/31/2008 10:56:13 AM	DWEL-000-000-000-032	Deaccessioned
01/31/2008 10:57:17 AM	DWEL-000-000-000-419	_|-final-dwel-|_
01/31/2008 11:16:06 AM	NASA-Edmall-869	Deaccessioned
01/31/2008 11:18:39 AM	NASA-Edmall-277	_|-final-edmall-|_
01/31/2008 11:27:03 AM	SERC-NAGT-000-000-000-446	Holding
01/31/2008 11:27:58 AM	SERC-NAGT-000-000-000-523	_|-final-sercnagt-|_
01/31/2008 11:42:46 AM	SERC-NAGT-000-000-000-569	_|-final-sercnagt-|_
01/31/2008 11:47:52 AM	SERC-NAGT-000-000-000-666	_|-final-sercnagt-|_
01/31/2008 11:54:30 AM	SERC-STARTINGPOINT-000-000-000-009	_|-final-sercstrtpt-|_
01/31/2008 12:02:16 PM	SERC-STARTINGPOINT-000-000-000-455	Holding
01/31/2008 12:56:06 PM	DLESE-000-000-010-282	In Progress
02/05/2008 08:35:38 AM	DLESE-000-000-001-317	_|-final-dcc-|_
