1972	12
1973	221
1974	258
1975	254
1976	238
1977	305
1978	277
1979	216
1980	201
1981	230
1982	221
1983	227
1984	296
1985	207
1986	251
1987	248
1988	221
1989	217
1990	245
1991	207
1992	232
1993	280
1994	305
1995	333
1996	348
1997	360
1998	420
1999	393
2000	395
2001	421
2002	537
2003	736
2004	68
2005	477
2006	512
2007	550
2008	597
2009	300
