pub_date,title,authors,doi,ark,journal,collaboration,num_yellowstone_authors,yellowstone_authors,sum_author_charges,other_ncar_authors
2012-05-16,The isotopic record of Northern Hemisphere atmospheric carbon monoxide since 1950: implications for the CO budget,"Wang, Z.; Chappellaz, J.; Martinerie, P.; et al",10.5194/acp-12-4365-2012,http://n2t.net/ark:/85065/d76w9bpg,Atmospheric Chemistry and Physics,"UCAR, University and Other",1,"Emmons, L.",417510.0,"Martinerie, P.; Barstow, E.; Mak, J."
2012-05-10,Impact of January 2005 solar proton events on chlorine species,"Damiani, A.; Funke, B.; Marsh, D.; et al",10.5194/acp-12-4159-2012,http://n2t.net/ark:/85065/d7zg6svn,Atmospheric Chemistry and Physics,"UCAR, University and Other",1,"Marsh, D.",1714951.2,
2012-03-29,Impact of trash burning on air quality in Mexico City,"Hodzic, A.; Wiedinmyer, C.; Salcedo, D.; et al",10.1021/es203954r,http://n2t.net/ark:/85065/d79p327x,Environmental Science & Technology,UCAR and University,1,"Hodzic, A.",234568.9,"Wiedinmyer, C."
2011-10-24,Modeling anthropogenically controlled secondary organic aerosols in a megacity: A simplified framework for global and climate models,"Hodzic, A.; Jimenez, J.",10.5194/gmd-4-901-2011,http://n2t.net/ark:/85065/d75x29jn,Geoscientific Model Development,UCAR and University,1,"Hodzic, A.",234568.9,
2011-07-13,Modeling organic aerosols in a megacity: Comparison of simple and complex representations of the volatility basis set approach,"Shrivastava, M.; Fast, J.; Easter, R.; et al",10.5194/acp-11-6639-2011,http://n2t.net/ark:/85065/d7sq911s,Atmospheric Chemistry and Physics,"UCAR, University and Other",1,"Hodzic, A.",234568.9,"Zaveri, R."
2012-06-28,Regional air-quality forecasting for the Pacific Northwest using MOPITT/TERRA assimilated carbon monoxide MOZART-4 forecasts as a near real-time boundary condition,"Herron-Thorpe, F.; Mount, G.; Emmons, L.; et al",10.5194/acp-12-5603-2012,http://n2t.net/ark:/85065/d7j67hj6,Atmospheric Chemistry and Physics,UCAR and University,1,"Emmons, L.",417510.0,
2012-05-31,"Isocyanic acid in a global chemistry transport model: Tropospheric distribution, budget, and identification of regions with potential health impacts","Young, P.; Emmons, L.; Roberts, J.; et al",10.1029/2011JD017393,http://n2t.net/ark:/85065/d7df6rtg,Journal of Geophysical Research-Atmospheres,"UCAR, University and Other",2,"Emmons, L.; Lamarque, J.",7571197.7,"Wiedinmyer, C."
2012-07-01,Numerical models of sunspot formation and fine structure,"Rempel, M.",10.1098/rsta.2011.0556,http://n2t.net/ark:/85065/d70865xb,"Philosophical Transactions of the Royal Society. Series A, Mathematical, Physical & Engineering Sciences",UCAR only,1,"Rempel, M.",8667097.2,
2012-01-01,Ozone exposure causes a decoupling of conductance and photosynthesis: Implications for the Ball-Berry stomatal conductance model,"Lombardozzi, D.; Sparks, J.; Bonan, G.; et al",10.1007/s00442-011-2242-3,http://n2t.net/ark:/85065/d7g73fbw,Oecologia,UCAR and University,3,"Lombardozzi, D.; Bonan, G.; Levis, S.",9428245.9,
2012-06-23,Potential impact of initialization on decadal predictions as assessed for CMIP5 models,"Branstator, G.; Teng, H.",10.1029/2012GL051974,http://n2t.net/ark:/85065/d76t0n8q,Geophysical Research Letters,UCAR only,2,"Branstator, G.; Teng, H.",58344.8,
2012-06-20,Reconciling leaf physiological traits and canopy flux data: Use of the TRY and FLUXNET databases in the Community Land Model version 4,"Bonan, G.; Oleson, K.; Fisher, R.; et al",10.1029/2011JG001913,http://n2t.net/ark:/85065/d7fb53jx,Journal of Geophysical Research-Biogeosciences,UCAR and University,3,"Bonan, G.; Oleson, K.; Fisher, R.",2423071.3,
2012-06-06,A limited area model (LAM) intercomparison study of a TWP-ICE active monsoon mesoscale convective event,"Zhu, P.; Dudhia, J.; Field, P.; et al",10.1029/2011JD016447,http://n2t.net/ark:/85065/d7222vcg,Journal of Geophysical Research-Atmospheres,"UCAR, University and Other",2,"Dudhia, J.; Chen, M.",161469.0,
2012-06-01,Climate system response to external forcings and climate change projections in CCSM4,"Meehl, G.; Washington, W.; Arblaster, J.; et al",10.1175/JCLI-D-11-00240.1,http://n2t.net/ark:/85065/d7db82gf,Journal of Climate,UCAR and Other,7,"Arblaster, J.; Hu, A.; Teng, H.; Sanderson, B.; Lamarque, J.; Conley, A.; Strand, W.",18292758.9,"Meehl, G.; Washington, W.; White, J."
2012-06-01,Evaluation of the new CNDV option of the Community Land Model: Effects of dynamic vegetation and interactive nitrogen on CLM4 means and variability,"Castillo, C.; Levis, S.; Thornton, P.",10.1175/JCLI-D-11-00372.1,http://n2t.net/ark:/85065/d7125t8j,Journal of Climate,UCAR and Other,1,"Levis, S.",5566150.7,
2012-06-01,Temperature trends in the NARCCAP regional climate models,"Bukovsky, M.",10.1175/JCLI-D-11-00588.1,http://n2t.net/ark:/85065/d7rn38g7,Journal of Climate,UCAR only,1,"Bukovsky, M.",587815.1,
2012-06-01,Day-to-day migrating and nonmigrating tidal variability due to the six-day planetary wave,"Pedatella, N.; Liu, H.; Hagan, M.",10.1029/2012JA017581,http://n2t.net/ark:/85065/d7cc11bm,Journal of Geophysical Research-Space Physics,UCAR only,3,"Pedatella, N.; Liu, H.; Hagan, M.",9468062.2,
2012-06-01,Mechanisms for precipitation enhancement in a North American monsoon upper-tropospheric trough,"Newman, A.; Johnson, R.",10.1175/JAS-D-11-0223.1,http://n2t.net/ark:/85065/d73t9hv5,Journal of the Atmospheric Sciences,UCAR and University,1,"Newman, A.",1287076.1,
