Conference Proceedings																			
Pub. #	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	"Collaboration (UCAR Only, UCAR and University, UCAR and Other, UCAR, University and Other "	Publication Year  	Publication Type  	Publication Title  	City  	State  	Country  	Fiscal Year  	Published via Open Access?					
Num	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	Collaboration	Publication Year  	Publication Type  	Publication Title  	City  	State  	Country  	Fiscal Year  	Open Access	Volume	Page Start	Page End	DOI	Notes
	Fried	Alan			"UCAR, NCAR, EOL, TDF"	UCAR and University	2010	Proceeding-Article	"Spectrometers: Successes, challenges, and opportunities "	San Diego 	CA 	USA 	2010	No					
	Rippe	Lars			Lund University	UCAR and University	2010	Proceeding-Article	"Spectrometers: Successes, challenges, and opportunities "	San Diego 	CA 	USA 	2010	No					
	Lewander	Marta			Lund University	UCAR and University	2010	Proceeding-Article	"Spectrometers: Successes, challenges, and opportunities "	San Diego 	CA 	USA 	2010	No					
	Batet	Oscar			Technical University of Catalonia	UCAR and University	2010	Proceeding-Article	"Spectrometers: Successes, challenges, and opportunities "	San Diego 	CA 	USA 	2010	No					
	Walega	James	G		"UCAR, NCAR, EOL, TDF"	UCAR and University	2010	Proceeding-Article	"Spectrometers: Successes, challenges, and opportunities "	San Diego 	CA 	USA 	2010	No					
	Spuler	Scott			"UCAR, NCAR, EOL, RSF"	UCAR and University	2010	Proceeding-Article	"Spectrometers: Successes, challenges, and opportunities "	San Diego 	CA 	USA 	2010	No					
8	Lee	Wen-Chau			"UCAR, NCAR, EOL, RSF"	UCAR Only	2009	Proceeding-Article	Overview of ELDORA operations in The THORPEX Pacific Asian Regional Campaign	Williamsburg 	VA 	USA 	2010	No					
	Bell	Michael 			"UCAR, NCAR, EOL, RSF"	UCAR Only	2009	Proceeding-Article	Overview of ELDORA operations in The THORPEX Pacific Asian Regional Campaign	Williamsburg 	VA 	USA 	2010	No					
	Loew	Eric			"UCAR, NCAR, EOL, RSF"	UCAR Only	2009	Proceeding-Article	Overview of ELDORA operations in The THORPEX Pacific Asian Regional Campaign	Williamsburg 	VA 	USA 	2010	No					
	Wolff	Cory			"UCAR, NCAR, RAL, AAP"	UCAR Only	2009	Proceeding-Article	Overview of ELDORA operations in The THORPEX Pacific Asian Regional Campaign	Williamsburg 	VA 	USA 	2010	No					
	Cai	Huaqing			"UCAR, NCAR, RAL, HAP"	UCAR Only	2009	Proceeding-Article	Overview of ELDORA operations in The THORPEX Pacific Asian Regional Campaign	Williamsburg 	VA 	USA 	2010	No					
9	Hsiu	Rong-Guang			National Taiwan University	UCAR and University	2009	Proceeding-Article	Mesoscale boundaries and thunderstorm initiation during Southwest Monsoon Experiment/Terrain-influenced Monsoon Rainfall Experiment 	Williamsburg 	VA 	USA 	2010	No					
	Jou	Ben	J	D	National Taiwan University	UCAR and University	2009	Proceeding-Article	Mesoscale boundaries and thunderstorm initiation during Southwest Monsoon Experiment/Terrain-influenced Monsoon Rainfall Experiment 	Williamsburg 	VA 	USA 	2010	No					
	Lee 	Wen-Chau			"UCAR, NCAR, EOL, RSF"	UCAR and University	2009	Proceeding-Article	Mesoscale boundaries and thunderstorm initiation during Southwest Monsoon Experiment/Terrain-influenced Monsoon Rainfall Experiment 	Williamsburg 	VA 	USA 	2010	No					
10	Hubbert	John	C		"UCAR, NCAR, EOL, RSF"	UCAR Only	2010	Proceeding-Article	Antenna polarization errors and biases in polarimetric variables for simultaneous horizontal and vertical transmit radar 	Sibiu 		ROU 	2010	No					
	Ellis	Scott			"UCAR, NCAR, EOL, RSF"	UCAR Only	2010	Proceeding-Article	Antenna polarization errors and biases in polarimetric variables for simultaneous horizontal and vertical transmit radar 	Sibiu 		ROU 	2010	No					
	Meymaris 	Gregory			"UCAR, NCAR, RAL, AAP"	UCAR Only	2010	Proceeding-Article	Antenna polarization errors and biases in polarimetric variables for simultaneous horizontal and vertical transmit radar 	Sibiu 		ROU 	2010	No					
	Dixon	Michael 			"UCAR, NCAR, RAL"	UCAR Only	2010	Proceeding-Article	Antenna polarization errors and biases in polarimetric variables for simultaneous horizontal and vertical transmit radar 	Sibiu 		ROU 	2010	No					
11	Weckwerth 	Tammy	M		"UCAR, NCAR, EOL, RSF"	UCAR Only	2009	Proceeding-Article	"Extended abstracts, 5th European Conference on Severe Storms"	Landshut 		DEU 	2010	No					
	Wilson	James			"UCAR, NCAR, RAL, HAP"	UCAR Only	2009	Proceeding-Article	"Extended abstracts, 5th European Conference on Severe Storms"	Landshut 		DEU 	2010	No					
12	Hubbert	John	C		"UCAR, NCAR, EOL, RSF"	UCAR and University	2009	Proceeding-Article	X-band simultaneous horizontal and vertical transmit data and cross-coupling signatures	Williamsburg 	VA 	USA 	2010	No					
	Shen	X	S		Chinese Academy of Meteorological Sciences	UCAR and University	2009	Proceeding-Article	X-band simultaneous horizontal and vertical transmit data and cross-coupling signatures	Williamsburg 	VA 	USA 	2010	No					
	Wang	T	C		Chinese Academy of Meteorological Sciences	UCAR and University	2009	Proceeding-Article	X-band simultaneous horizontal and vertical transmit data and cross-coupling signatures	Williamsburg 	VA 	USA 	2010	No					
	Ellis	Scott	M		"UCAR, NCAR, EOL, RSF"	UCAR and University	2009	Proceeding-Article	X-band simultaneous horizontal and vertical transmit data and cross-coupling signatures	Williamsburg 	VA 	USA 	2010	No					
13	Zhong 	S			Michigan State University	UCAR and University	2010	Proceeding-Article	An observational study of turbulence inside a closed basin 	Keystone 	CO 	USA 	2010	No					
	Fu	P	J			UCAR and University	2010	Proceeding-Article	An observational study of turbulence inside a closed basin 	Keystone 	CO 	USA 	2010	No					
	Bian	X			Mc Gill University	UCAR and University	2010	Proceeding-Article	An observational study of turbulence inside a closed basin 	Keystone 	CO 	USA 	2010	No					
	Whiteman	C	D		University of Utah	UCAR and University	2010	Proceeding-Article	An observational study of turbulence inside a closed basin 	Keystone 	CO 	USA 	2010	No					
	Horst	T			"UCAR, NCAR, EOL, ISF"	UCAR and University	2010	Proceeding-Article	An observational study of turbulence inside a closed basin 	Keystone 	CO 	USA 	2010	No					
14	Lee	Gyuwon			Kyungpook National University	UCAR and University	2009	Proceeding-Article	Improved precipitation nowcasting: Model errors and their correction in operational numercial weather predictions at different scales 	Williamsburg 	VA 	USA 	2010	No					
	Zawadzki	I			Mc Gill University	UCAR and University	2009	Proceeding-Article	Improved precipitation nowcasting: Model errors and their correction in operational numercial weather predictions at different scales 	Williamsburg 	VA 	USA 	2010	No					
	Wilson	James			"UCAR, NCAR, RAL, HAP"	UCAR and University	2009	Proceeding-Article	Improved precipitation nowcasting: Model errors and their correction in operational numercial weather predictions at different scales 	Williamsburg 	VA 	USA 	2010	No					
	Xu	M				UCAR and University	2009	Proceeding-Article	Improved precipitation nowcasting: Model errors and their correction in operational numercial weather predictions at different scales 	Williamsburg 	VA 	USA 	2010	No					
	Kilambi	A				UCAR and University	2009	Proceeding-Article	Improved precipitation nowcasting: Model errors and their correction in operational numercial weather predictions at different scales 	Williamsburg 	VA 	USA 	2010	No					
	Pinto	J			University of Cologne	UCAR and University	2009	Proceeding-Article	Improved precipitation nowcasting: Model errors and their correction in operational numercial weather predictions at different scales 	Williamsburg 	VA 	USA 	2010	No					
15	Lee 	Wen-Chau			"UCAR, NCAR, EOL, RSF"	UCAR and University	2009	Proceeding-Article	Airborne radar observations of heavy precipitation systems influenced by monsoon 	Taipei 		TWN 	2010	No					
	Liu	Ching-Hwang			Chinese Cultural University	UCAR and University	2009	Proceeding-Article	Airborne radar observations of heavy precipitation systems influenced by monsoon 	Taipei 		TWN 	2010	No					
16	Jong-DaoJOU	Ben			National Taiwan University	UCAR and University	2009	Proceeding-Article	An overview of the Southwest Monsoon Experiment/Terrain-influenced Monsoon Rainfall Experiment and its operation 	Taipei 		TWN 	2010	No					
	Lee	Wen-Chau			"UCAR, NCAR, EOL, RSF"	UCAR and University	2009	Proceeding-Article	An overview of the Southwest Monsoon Experiment/Terrain-influenced Monsoon Rainfall Experiment and its operation 	Taipei 		TWN 	2010	No					
	Johnson	Richard	H		Colorado State University	UCAR and University	2009	Proceeding-Article	An overview of the Southwest Monsoon Experiment/Terrain-influenced Monsoon Rainfall Experiment and its operation 	Taipei 		TWN 	2010	No					
17	Meitín 	José 			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	Requesting use of National Science Foundation facilities for education 	Atlanta 	GA 	USA 	2010	No					
	Baeuerle	Brigitte			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	Requesting use of National Science Foundation facilities for education 	Atlanta 	GA 	USA 	2010	No					
18	Ice 	Richard	L		Wyle Information Systems	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Cate	G	S			"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Saffle	R	E			"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Sirmans	D			National Severe Storms Laboratory	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Zrnic	D	S		National Severe Storms Laboratory	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Torres	S	M		Cooperative Institute for Mesoscale Meteorological Studies	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Warde	D	A		SI International	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Ellis	Scott			"UCAR, NCAR, EOL, RSF"	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Hubbert	John	C		"UCAR, NCAR, EOL, RSF"	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Free	A	D			"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
19	Ice 	Richard	L		Wyle Information Systems	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Cate	G	S			"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Saffle	R	E			"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Sirmans	D			National Severe Storms Laboratory	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Zrnic	D	S		National Severe Storms Laboratory	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Torres	S	M		Cooperative Institute for Mesoscale Meteorological Studies	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Warde	D	A		SI International	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Hubbert	John	C		"UCAR, NCAR, EOL, RSF"	"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
	Free	A	D			"UCAR, University and Other"	2010	Proceeding-Article	A signal processing roadmap for next-generation radar	Atlanta 	GA 	USA 	2010	No					
