source (WOS journal) 2011	Existing OSM pubName	OSM pubName to Add
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS	Journal of Wind Engineering and Industrial Aerodynamics	
MEASUREMENT	Measurement	
METEOROLOGY AND ATMOSPHERIC PHYSICS	Meteorology and Atmospheric Physics	
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	Monthly Notices of the Royal Astronomical Society	
MONTHLY WEATHER REVIEW	Monthly Weather Review	
NACHRICHTEN AUS DER CHEMIE	Nachrichten aus der Chemie	Nachrichten aus der Chemie
NATURE	Nature	
NATURE GEOSCIENCE	Nature Geoscience	
NEUROSCIENCE LETTERS	Neuroscience Letters	Neuroscience Letters
NUOVO CIMENTO DELLA SOCIETA ITALIANA DI FISICA B-BASIC TOPICS IN PHYSICS	Nuovo Cimento B	Nuovo Cimento B
OCEAN DYNAMICS	Ocean Dynamics	
OPTICS EXPRESS	Optics Express	
PHILOSOPHY OF SCIENCE	Philosophy of Science	
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES	Photochemical &amp; Photobiological Sciences	Photochemical &amp; Photobiological Sciences
PHOTOCHEMISTRY AND PHOTOBIOLOGY	Photochemistry and Photobiology	
PHYSICA SCRIPTA	Physica Scripta	
PHYSICAL REVIEW E	Physical Review E	
PHYSICAL REVIEW LETTERS	Physical Review Letters	
PHYSICS OF FLUIDS	Physics of Fluids	
PHYSICS OF PLASMAS	Physics of Plasmas	
PLANT ECOLOGY & DIVERSITY	Plant Ecology &amp; Diversity	Plant Ecology &amp; Diversity
POLAR RESEARCH	Polar Research	
POPULATION RESEARCH AND POLICY REVIEW	Population Research and Policy Review	
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Proceedings of the National Academy of Sciences of the United States of America	
PROGRESS IN OCEANOGRAPHY	Progress in Oceanography	
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	Quarterly Journal of the Royal Meteorological Society	
RADIO SCIENCE	Radio Science	
RESOURCE AND ENERGY ECONOMICS	Resource and Energy Economics	Resource and Energy Economics
REVIEWS OF GEOPHYSICS	Reviews of Geophysics	
SCIENCE	Science	
SCIENCE CHINA-EARTH SCIENCES	Science China: Earth Sciences	Science China: Earth Sciences
SIAM JOURNAL ON SCIENTIFIC COMPUTING	Siam Journal on Scientific Computing	
SOLAR PHYSICS	Solar Physics	
SPACE SCIENCE REVIEWS	Space Science Reviews	
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS	Space Weather-the International Journal of Research and Applications	
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY	Tellus Series A-dynamic Meteorology and Oceanography	
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY	Tellus Series B-chemical and Physical Meteorology	
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	Terrestrial Atmospheric and Oceanic Sciences	
THEORETICAL AND APPLIED CLIMATOLOGY	Theoretical and Applied Climatology	
WATER RESOURCES RESEARCH	Water Resources Research	
WEATHER AND FORECASTING	Weather and Forecasting	
WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE	Wiley Interdisciplinary Reviews: Climate Change	
