uhtbin_url	citable_url
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000047	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-047
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000048	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-048
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000049	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-049
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000050	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-050
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000051	http://nldr.library.ucar.edu/repository/monographs/MONOGRAPH-000-000-000-051
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000052	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-052
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000053	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-053
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000054	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-054
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000055	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-055
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000056	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-056
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000057	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-057
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000058	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-058
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000059	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-059
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000060	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-060
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000061	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-061
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000062	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-062
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000063	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-063
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000064	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-064
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000065	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-065
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000066	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-066
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000067	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-067
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000068	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-068
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000069	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-069
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000070	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-070
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000071	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-071
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000072	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-072
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000073	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-073
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000074	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-074
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000075	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-075
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000076	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-076
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000077	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-077
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000078	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000079	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-079
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000080	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-002
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000081	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-002
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000082	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-083
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000083	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-083
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000084	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-083
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000085	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-086
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000086	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-086
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000087	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-086
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000088	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-089
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000089	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-089
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000090	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-089
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000091	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-089
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000092	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-089
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000093	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-094
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000094	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-094
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000095	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-094
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000096	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-097
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000097	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-097
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000098	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-097
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000099	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-100
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000100	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-100
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000101	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-100
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000102	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-100
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000103	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-104
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000104	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-104
